ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,agri_ESA20_agri_exp,agri_ESA20_agri_freq
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,646.07,0,0
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,457.728,0,0
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,75.957,0,0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,6874.351,0,0
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,349.116,215.806,0.129621048534332
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,20615.807,0,0
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,2100.607,193.087,0.02702926660003
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,4429.484,0,0
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4065.797,42.631,0.081091224695644
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,35721.801,0,0
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,4026.933,2150.062,0.0540579760025525
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,19386.541,4115.919,0.125598681606708
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,2779.109,717.975,0.108108221038337
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,9215.521,1632.363,0.403883204899891
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,1139.326,340.149,0.21621701078057
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,7701.315,4782.556,0.0482365496608926
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,278.931,0,0
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,2091.436,414.148,0.108108695442209
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,2675.533,133.838,0.081083100464741
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,2432.225,1141.839,0.108107184988427
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,1892.477,149.011,0.108106112971526
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,2896.441,168.391,0.104566158523912
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,777.499,255.99,0.0270283995468573
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,1176.723,22.469,0.0810895010903912
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,3922.777,833.646,0.108108237789181
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,2108.919,0,0
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,1929.296,154.961,0.108111073108718
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,1577.057,0,0
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,6848.466,836.692,0.216215763984836
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,3012.341,235.053,0.0810795863060671
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,1806.468,1180.311,0.0824138722760357
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,3200.198,1136.664,0.054053792501566
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,1254.839,0,0
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,1390.03,469.44,0.160148261758691
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,1866.321,166.331,0.108109733002267
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,2011.666,561.122,0.16216259565656
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,3779.733,3664.941,0.2694168882937
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,6775.043,6488.027,0.132967695726297
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,717.734,675.655,0.129752610429879
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,2517.822,2028.713,0.108107948241077
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,4407.82,2841.633,0.216216168660767
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,3159.561,173.59,0.17726827582234
